"AccBinomial","meanHeight","minHeight","maxHeight","meanLeaf.length","minLeaf.length","maxLeaf.length","meanLeaf.width","minLeaf.width","maxLeaf.width","meanCorolla.radius","minCorolla.radius","maxCorolla.radius","meanCorolla.tube.length","minCorolla.tube.length","maxCorolla.tube.length","meanCorolla.lobe.length","minCorolla.lobe.length","maxCorolla.lobe.length","meanStyle.length","minStyle.length","maxStyle.length","meanFruit.size","minFruit.size","maxFruit.size","Self..in.compatibility","Ploidy","HapN","Life.history","Habit","Stem.composition","Leaf.type","Corolla.color","Fruit.type","Fruit.color"
"Acnistus arborescens",4.5,4.5,4.5,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",10,10,10,10,10,10,"NA","NA","NA","SC","Diploid",12,"Perennial","Tree","Woody",,"white",,
"Anisodus acutangulus",1.25,1,1.5,115,80,150,45,30,60,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",,"Polyploid",24,"Perennial",,"Herbaceous","Simple","yellow, green, purple","Capsule",
"Anisodus carniolicoides","NA","NA","NA",120,60,180,52.5,30,75,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",15,15,15,,"Polyploid",24,"Perennial",,"Herbaceous","Simple","yellow, green",,
"Anisodus luridus",0.625,0.05,1.2,110,70,150,62.5,40,85,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",,"Polyploid","24, 12","Perennial",,"Herbaceous","Simple","yellow, green","Capsule",
"Anisodus tanguticus",0.6,0.4,0.8,140,80,200,57.5,25,90,"NA","NA","NA","NA","NA","NA","NA","NA","NA",12,12,12,20,20,20,"SC","Polyploid",24,"Perennial","Herb","Herbaceous","Simple","yellow, green, purple","Capsule",
"Anthocercis angustifolia",2.5,2.5,2.5,26,2,50,3.25,0.5,6,"NA","NA","NA",23.5,19,28,16.25,12,20,"NA","NA","NA",6.75,4,9,,"Polyploid",36,,"Shrub",,"Simple","white, cream, yellow, light yellow, purple","Capsule",
"Anthocercis anisantha",2.75,2.5,3,8.125,1.5,14,2.125,0.5,4,"NA","NA","NA",13.5,7,20,8.75,2.5,15,"NA","NA","NA",6.875,4.5,9,,"Polyploid",36,,"Shrub",,"Simple","red, light yellow, green, purple, brown, white, yellow","Capsule",
"Anthocercis fasciculata",3.5,3.5,3.5,28,11,45,6.5,3,10,"NA","NA","NA",12.5,9,16,6.5,4,9,"NA","NA","NA",7.5,6,9,,"Polyploid",36,,"Shrub",,"Simple","white","Capsule",
"Anthocercis genistoides",3,3,3,17.5,5,30,2,2,2,"NA","NA","NA",16.5,8,25,12,4,20,"NA","NA","NA",7,6,8,,"Polyploid",36,,"Shrub",,"Simple","white, cream, red, green, purple, brown","Capsule",
"Anthocercis gracilis",0.6,0.6,0.6,15,3,27,1.5,1,2,3,3,3,18,15,21,12.5,10,15,"NA","NA","NA",8.25,6.5,10,"SI","Polyploid",36,"Perennial","Herb, Shrub",,"Simple","yellow, light purple, green, purple","Capsule",
"Anthocercis ilicifolia",2.7,2.7,2.7,47.5,15,80,21,7,35,"NA","NA","NA",19.5,12,27,12,6,18,"NA","NA","NA",16,11,21,,"Polyploid",36,,"Shrub",,"Simple","red, yellow, purple","Capsule",
"Anthocercis intricata",3,3,3,20,10,30,3.5,1.5,5.5,"NA","NA","NA",18,15,21,12.5,10,15,"NA","NA","NA",11,5,17,,"Polyploid",36,,"Shrub",,"Simple","white, cream, purple","Capsule",
"Anthocercis littorea",3,3,3,41.5,18,65,17.5,4,31,"NA","NA","NA",23,14,32,17.5,10,25,"NA","NA","NA",14,9,19,,"Polyploid",36,,"Shrub",,"Simple","red, light yellow, yellow, purple, brown","Capsule",
"Anthocercis sylvicola",2.5,2.5,2.5,9,7,11,3.25,2,4.5,"NA","NA","NA",7.75,7,8.5,3.6,3.2,4,"NA","NA","NA","NA","NA","NA",,,,,"Shrub",,,"green, purple","Capsule",
"Anthocercis viscosa",3,3,3,40,20,60,20,10,30,"NA","NA","NA",34,20,48,18.5,12,25,"NA","NA","NA",13.5,8,19,,"Polyploid",36,,"Shrub",,"Simple","white, cream, green, purple","Capsule",
"Anthotroche myoporoides",3,3,3,27.5,20,35,10,5,15,"NA","NA","NA",7,5.5,8.5,3.25,2.5,4,"NA","NA","NA",3.5,3,4,,"Polyploid",31,,"Shrub",,"Simple","green, blue, purple","Capsule",
"Anthotroche pannosa",2.5,2.5,2.5,20,10,30,10,5,15,"NA","NA","NA",10,7,13,4.75,3,6.5,"NA","NA","NA",5.5,4,7,,"Polyploid",31,,"Shrub",,"Simple","yellow, green, purple","Capsule",
"Anthotroche walcottii",2,2,2,13.5,7,20,11.5,7,16,"NA","NA","NA",6.5,5,8,4,3,5,"NA","NA","NA",6,4,8,,"Polyploid",31,,"Shrub",,"Simple","yellow, green, purple","Capsule",
"Athenaea picta","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",,"Diploid",12,"Perennial",,"Woody",,,,
"Atropa acuminata","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",,"Polyploid",36,,,,,,,
"Atropa belladonna","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",20,20,20,"NA","NA","NA","SC","Polyploid","36, 30, 25","Perennial",,"Herbaceous",,,,
"Atropa komarovii","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",,"Polyploid",37,,,,,,,
"Atropanthe sinensis",1.15,0.8,1.5,165,110,220,80,40,120,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",19,18,20,,"Polyploid",24,"Perennial",,"Herbaceous","Simple","yellow, green","Capsule",
"Aureliana angustifolia",2.5,2,3,205,130,280,17.5,15,20,5.5,5,6,"NA","NA","NA",4.5,4,5,2,1,3,6.5,6,7,,,,,"Shrub",,"Simple","white, green",,
"Aureliana darcyi",2.5,2,3,75,30,120,26.5,8,45,"NA","NA","NA","NA","NA","NA",5.5,5,6,1,1,1,10,10,10,,,,,"Shrub, Tree",,"Simple","white, green",,"Green"
"Aureliana sellowiana",5.25,3.5,7,129,73,185,19.5,13,26,10,10,10,16.1,15,17.2,12.3,12,12.6,"NA","NA","NA",20,18,22,,,12,,"Tree",,"Simple","white, green, blue, purple","Berry","Yellow, Green"
"Benthamiella nordenskjoldii","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","SI",,,"Perennial",,"Woody",,,,
"Benthamiella pycnophylloides","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",,"Diploid",11,,,,,,,
"Bouchetia anomala",0.3,0.1,0.5,40,10,70,12.5,5,20,11.25,5,17.5,10.5,6,15,"NA","NA","NA","NA","NA","NA",7,6,8,,"Diploid",8,"Perennial","Subshrub","Woody",,"white, cream","Capsule",
"Bouchetia erecta","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",,"Diploid",8,"Perennial",,"Woody",,,,
"Brachistus stramoniifolius",4.5,4.5,4.5,"NA","NA","NA","NA","NA","NA",20,20,20,"NA","NA","NA",10,10,10,"NA","NA","NA","NA","NA","NA","SC",,,"Perennial","Shrub","Woody",,"light yellow",,
"Browallia americana",0.85,0.7,1,51.25,15,70,37.5,10,50,6.25,5,7.5,15.5,12,20,"NA","NA","NA",13.5,12,15,"NA","NA","NA","SC","Diploid","11, 22, 10","Annual","Herb","Herbaceous","Simple","green, blue, light purple, white, purple","Capsule",
"Brugmansia arborea",4,4,4,"NA","NA","NA","NA","NA","NA","NA","NA","NA",145,120,170,"NA","NA","NA","NA","NA","NA",52.5,45,60,"SI","Diploid",12,"Perennial","Shrub, Tree",,"Simple","white","Berry","Green"
"Brugmansia aurea",10,10,10,"NA","NA","NA","NA","NA","NA","NA","NA","NA",210,180,240,"NA","NA","NA","NA","NA","NA",90,90,90,"SI","Diploid",12,"Perennial","Shrub, Tree","Woody","Simple","white, yellow","Berry","Green"
"Brugmansia sanguinea",10,10,10,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",150,150,150,"NA","NA","NA","SI","Diploid",12,"Perennial","Tree","Woody",,"red",,
"Brugmansia sanguinea subsp. sanguinea",10,10,10,"NA","NA","NA","NA","NA","NA","NA","NA","NA",210,170,250,"NA","NA","NA","NA","NA","NA",80,70,90,"SI",,,"Perennial","Shrub, Tree",,"Simple","red, orange, yellow, green","Berry","Yellow, Green"
"Brugmansia sanguinea subsp. vulcanicola",3.5,3,4,200,200,200,100,100,100,"NA","NA","NA",215,190,240,"NA","NA","NA","NA","NA","NA",120,120,120,"SI",,,"Perennial","Shrub","Woody","Simple","pink, red, yellow, green","Berry",
"Brugmansia suaveolens",3.5,3,5,"NA","NA","NA","NA","NA","NA","NA","NA","NA",275,250,300,"NA","NA","NA",200,200,200,130,100,160,"SI","Diploid",12,"Perennial","Tree, Shrub","Woody","Simple","white, yellow, pink","Berry",
"Brugmansia versicolor",4,3,5,"NA","NA","NA","NA","NA","NA","NA","NA","NA",395,290,500,"NA","NA","NA","NA","NA","NA",355,260,450,"SI","Diploid",12,"Perennial","Shrub, Tree","Woody","Simple","white, pink, orange","Berry",
"Brugmansia x candida",4,3,5,"NA","NA","NA","NA","NA","NA","NA","NA","NA",270,220,320,"NA","NA","NA","NA","NA","NA","NA","NA","NA","SI",,,"Perennial","Shrub, Tree",,"Simple","white, yellow","Berry",
"Brugmansia x dolichocarpa","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",330,310,350,"NA","NA","NA",350,350,350,300,290,310,"SI",,,"Perennial","Shrub, Tree",,"Simple","white","Berry",
"Brugmansia x insignis",3.5,3,4,"NA","NA","NA","NA","NA","NA","NA","NA","NA",340,300,380,"NA","NA","NA","NA","NA","NA",120,110,130,"SI",,,"Perennial","Shrub, Tree",,"Simple","white, pink","Berry",
"Brugmansia x rubella",2.7,2.4,3,100,100,100,40,40,40,"NA","NA","NA",135,130,140,"NA","NA","NA",112.5,110,115,70,70,70,"SI",,,"Perennial","Shrub",,"Simple","red","Berry",
"Brugmansia ￃﾗcandida",3,3,3,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",182.3,182.3,182.3,"NA","NA","NA","SI","Diploid",12,"Perennial","Tree","Woody",,"white",,
"Brunfelsia amazonica",2,1.5,2.5,92.5,65,120,37.5,25,50,10,7.5,12.5,22.5,20,25,8.5,6,11,17,16,18,10,10,10,,,,,"Shrub, Tree","Woody","Simple","white, green",,"Green"
"Brunfelsia americana","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",67.5,67.5,67.5,"NA","NA","NA","SI","Diploid",11,"Perennial",,"Woody",,,,
"Brunfelsia australis",3,2,4,82.5,40,125,42.5,25,60,17.5,15,20,28.5,25,32,"NA","NA","NA",24,20,28,16,10,22,,"Polyploid",12,,"Shrub, Tree","Woody","Simple","white, blue, purple","Capsule","Green"
