"AccBinomial","Stem.composition","Ploidy"
"Acnistus_arborescens","Woody","Diploid"
"Anisodus_acutangulus","Herbaceous","Polyploid"
"Anisodus_carniolicoides","Herbaceous","Polyploid"
"Anisodus_luridus","Herbaceous","Polyploid"
"Anisodus_tanguticus","Herbaceous","Polyploid"
"Atropa_belladonna","Herbaceous","Polyploid"
"Atropanthe_sinensis","Herbaceous","Polyploid"
"Bouchetia_anomala","Woody","Diploid"
"Bouchetia_erecta","Woody","Diploid"
"Brugmansia_sanguinea","Woody","Diploid"
"Brunfelsia_americana","Woody","Diploid"
"Calibrachoa_parviflora","Herbaceous","Diploid"
"Calibrachoa_pygmea","Herbaceous","Diploid"
"Calibrachoa_sellowiana","Herbaceous, Woody base","Diploid"
"Capsicum_annuum","Woody","Diploid"
"Capsicum_campylopodium","Woody","Polyploid"
"Capsicum_cardenasii","Woody","Diploid"
"Capsicum_chacoense","Woody","Diploid"
"Capsicum_chinense","Woody","Diploid"
"Capsicum_coccineum","Woody","Diploid"
"Capsicum_eximium","Woody, Woody base","Diploid"
"Capsicum_flexuosum","Woody","Diploid"
"Capsicum_frutescens","Woody","Diploid"
"Capsicum_galapagoensis","Woody","Diploid"
"Capsicum_geminifolium","Woody","Diploid"
"Capsicum_lanceolatum","Woody","Polyploid"
"Capsicum_pubescens","Woody","Diploid"
"Capsicum_recurvatum","Woody","Polyploid"
"Capsicum_rhomboideum","Woody","Polyploid"
"Capsicum_schottianum","Woody","Polyploid"
"Capsicum_tovarii","Woody, Woody base","Diploid"
"Capsicum_villosum","Woody","Diploid"
"Cestrum_fasciculatum","Woody","Diploid"
"Cestrum_megalophyllum","Woody","Diploid"
"Chamaesaracha_coronopus","Herbaceous","Diploid"
"Chamaesaracha_sordida","Herbaceous","Diploid"
"Cuatresia_cuneata","Woody","Diploid"
"Datura_ceratocaula","Herbaceous","Diploid"
"Datura_discolor","Herbaceous","Diploid"
"Datura_ferox","Herbaceous","Diploid"
"Datura_inoxia","Herbaceous","Diploid"
"Datura_leichhardtii","Herbaceous","Diploid"
"Datura_metel","Herbaceous","Diploid"
"Datura_quercifolia","Herbaceous","Diploid"
"Datura_stramonium","Herbaceous","Diploid"
"Duboisia_hopwoodii","Woody","Polyploid"
"Duboisia_leichhardtii","Woody","Polyploid"
"Duboisia_myoporoides","Woody","Polyploid"
"Dunalia_brachyacantha","Woody","Diploid"
"Dyssochroma_viridiflora","Woody","Diploid"
"Eriolarynx_lorentzii","Woody","Diploid"
"Exodeconus_miersii","Herbaceous","Diploid"
"Fabiana_imbricata","Woody","Diploid"
"Hyoscyamus_albus","Herbaceous","Polyploid"
"Hyoscyamus_muticus","Herbaceous","Diploid"
"Hyoscyamus_niger","Herbaceous","Diploid"
"Hyoscyamus_pusillus","Herbaceous","Diploid"
"Hyoscyamus_tibesticus","Herbaceous","Diploid"
"Iochroma_australe","Woody","Diploid"
"Iochroma_cyaneum","Woody","Diploid"
"Jaborosa_integrifolia","Herbaceous","Diploid"
"Jaltomata_chihuahuensis","Herbaceous","Diploid"
"Jaltomata_darcyana","Herbaceous","Diploid"
"Jaltomata_grandiflora","Woody, Woody base","Diploid"
"Jaltomata_lojae","Woody","Diploid"
"Jaltomata_procumbens","Herbaceous, Woody","Diploid"
"Jaltomata_repandidentata","Herbaceous","Diploid"
"Jaltomata_sagastegui","Woody","Diploid"
"Jaltomata_umbellata","Woody","Diploid"
"Jaltomata_ventricosa","Woody","Diploid"
"Jaltomata_viridiflora","Woody","Diploid"
"Latua_pubiflora","Woody","Diploid"
"Lycianthes_ciliolata","Herbaceous","Diploid"
"Lycianthes_rantonnetii","Woody","Diploid"
"Lycium_ameghinoi","Woody","Diploid"
"Lycium_americanum","Woody","Diploid"
"Lycium_andersonii","Woody","Diploid"
"Lycium_arenicola","Woody","Polyploid"
"Lycium_barbarum","Woody","Diploid"
"Lycium_berlandieri","Woody","Diploid"
"Lycium_boerhaviifolium","Woody","Diploid"
"Lycium_bosciifolium","Woody","Diploid"
"Lycium_brevipes","Woody","Diploid"
"Lycium_californicum","Woody","Diploid"
"Lycium_cestroides","Woody","Diploid"
"Lycium_chilense","Woody","Diploid"
"Lycium_chinense","Woody","Diploid"
"Lycium_ciliatum","Woody","Diploid"
"Lycium_cinereum","Woody","Diploid"
"Lycium_cooperi","Woody","Diploid"
"Lycium_cuneatum","Woody","Diploid"
"Lycium_elongatum","Woody","Diploid"
"Lycium_exsertum","Woody","Diploid"
"Lycium_ferocissimum","Woody","Diploid"
"Lycium_fremontii","Woody","Polyploid"
"Lycium_gariepense","Woody","Polyploid"
"Lycium_gilliesianum","Woody","Diploid"
"Lycium_hirsutum","Woody","Diploid"
"Lycium_infaustum","Woody","Diploid"
"Lycium_macrodon","Woody","Diploid"
"Lycium_minimum","Woody","Polyploid"
"Lycium_morongii","Woody","Diploid"
"Lycium_nodosum","Woody","Diploid"
"Lycium_oxycarpum","Woody","Diploid"
"Lycium_pallidum","Woody","Diploid"
"Lycium_parishii","Woody","Diploid"
"Lycium_puberulum","Woody","Diploid"
"Lycium_pumilum","Woody","Diploid"
"Lycium_schizocalyx","Woody","Diploid"
"Lycium_tenue","Woody","Diploid"
"Lycium_tetrandrum","Woody","Polyploid"
"Lycium_torreyi","Woody","Diploid"
"Lycium_villosum","Woody","Polyploid"
"Lycium_vimineum","Woody","Diploid"
"Mandragora_caulescens","Herbaceous","Polyploid"
"Mandragora_officinarum","Herbaceous","Diploid"
"Nicotiana_acaulis","Herbaceous","Diploid"
"Nicotiana_acuminata","Herbaceous","Diploid"
"Nicotiana_africana","Herbaceous","Polyploid"
"Nicotiana_alata","Herbaceous","Diploid"
"Nicotiana_amplexicaulis","Herbaceous","Polyploid"
"Nicotiana_benavidesii","Woody","Diploid"
"Nicotiana_bonariensis","Herbaceous","Diploid"
"Nicotiana_cavicola","Herbaceous","Polyploid"
"Nicotiana_cordifolia","Woody","Diploid"
"Nicotiana_corymbosa","Herbaceous","Diploid"
"Nicotiana_eastii","Herbaceous","Polyploid"
"Nicotiana_excelsior","Herbaceous","Polyploid"
"Nicotiana_forgetiana","Herbaceous","Diploid"
"Nicotiana_forsteri","Herbaceous","Polyploid"
"Nicotiana_glauca","Woody","Diploid"
"Nicotiana_glutinosa","Herbaceous","Diploid"
"Nicotiana_goodspeedii","Herbaceous","Polyploid"
"Nicotiana_gossei","Herbaceous","Polyploid"
"Nicotiana_kawakamii","Woody","Diploid"
"Nicotiana_knightiana","Herbaceous","Diploid"
"Nicotiana_langsdorffii","Herbaceous","Diploid"
"Nicotiana_linearis","Herbaceous","Diploid"
"Nicotiana_longiflora","Herbaceous","Diploid"
"Nicotiana_maritima","Herbaceous","Polyploid"
"Nicotiana_megalosiphon","Herbaceous","Polyploid"
"Nicotiana_miersii","Herbaceous","Diploid"
"Nicotiana_obtusifolia","Herbaceous, Woody base","Diploid"
"Nicotiana_occidentalis","Herbaceous","Polyploid"
"Nicotiana_otophora","Woody","Diploid"
"Nicotiana_paniculata","Herbaceous","Diploid"
"Nicotiana_petunioides","Herbaceous","Diploid"
"Nicotiana_plumbaginifolia","Herbaceous","Diploid"
"Nicotiana_quadrivalvis","Herbaceous","Polyploid"
"Nicotiana_raimondii","Woody","Diploid"
"Nicotiana_repanda","Herbaceous","Polyploid"
"Nicotiana_rosulata","Herbaceous","Polyploid"
"Nicotiana_rotundifolia","Herbaceous","Polyploid"
"Nicotiana_rustica","Herbaceous","Polyploid"
"Nicotiana_simulans","Herbaceous","Polyploid"
"Nicotiana_solanifolia","Herbaceous, Woody, Woody base","Diploid"
"Nicotiana_stocktonii","Herbaceous","Polyploid"
"Nicotiana_suaveolens","Herbaceous","Polyploid"
"Nicotiana_sylvestris","Herbaceous","Diploid"
"Nicotiana_tabacum","Herbaceous","Polyploid"
"Nicotiana_tomentosa","Woody","Diploid"
"Nicotiana_tomentosiformis","Woody","Diploid"
"Nicotiana_umbratica","Herbaceous","Polyploid"
"Nicotiana_undulata","Herbaceous","Diploid"
"Nicotiana_velutina","Herbaceous","Polyploid"
"Nicotiana_wigandioides","Woody","Diploid"
"Nierembergia_aristata","Herbaceous","Polyploid"
"Nierembergia_browallioides","Herbaceous","Polyploid"
"Nierembergia_calycina","Herbaceous","Polyploid"
"Nierembergia_ericoides","Herbaceous","Polyploid"
"Nierembergia_graveolens","Herbaceous","Polyploid"
"Nierembergia_linariifolia","Herbaceous","Polyploid"
"Nierembergia_pulchella","Herbaceous","Diploid"
"Nierembergia_repens","Herbaceous","Diploid"
"Nierembergia_rigida","Herbaceous","Diploid"
"Nierembergia_rivularis","Herbaceous","Diploid"
"Nierembergia_scoparia","Herbaceous","Diploid"
"Nierembergia_tucumanensis","Herbaceous","Diploid"
"Nolana_humifusa","Herbaceous","Diploid"
"Nolana_rostrata","Herbaceous","Diploid"
"Pantacantha_ameghinoi","Woody, Woody base","Diploid"
"Petunia_altiplana","Herbaceous","Diploid"
"Petunia_axillaris","Herbaceous, Woody base","Diploid"
"Petunia_bonjardinensis","Herbaceous","Diploid"
"Petunia_exserta","Herbaceous","Diploid"
"Petunia_integrifolia","Herbaceous","Diploid"
"Petunia_mantiqueirensis","Herbaceous","Diploid"
"Petunia_reitzii","Herbaceous","Diploid"
"Petunia_saxicola","Herbaceous","Diploid"
"Petunia_scheideana","Herbaceous","Diploid"
"Physalis_acutifolia","Herbaceous","Diploid"
"Physalis_alkekengi","Herbaceous, Woody base","Diploid"
"Physalis_angulata","Herbaceous","Diploid"
"Physalis_crassifolia","Herbaceous","Diploid"
"Physalis_heterophylla","Herbaceous","Diploid"
"Physalis_ignota","Herbaceous","Diploid"
"Physalis_lagascae","Herbaceous","Diploid"
"Physalis_longifolia","Herbaceous","Diploid"
"Physalis_minima","Herbaceous","Polyploid"
"Physalis_patula","Herbaceous","Diploid"
"Physalis_pruinosa","Herbaceous","Diploid"
"Physalis_pubescens","Herbaceous","Diploid"
"Physalis_virginiana","Herbaceous","Diploid"
"Physalis_viscosa","Herbaceous","Diploid"
"Physalis_walteri","Herbaceous","Diploid"
"Physochlaina_orientalis","Herbaceous","Polyploid"
"Physochlaina_praealta","Herbaceous","Polyploid"
"Przewalskia_tangutica","Herbaceous","Polyploid"
"Salpichroa_origanifolia","Herbaceous","Diploid"
"Salpiglossis_sinuata","Herbaceous","Diploid"
"Schizanthus_grahamii","Herbaceous","Diploid"
"Schizanthus_hookeri","Herbaceous","Diploid"
"Schizanthus_pinnatus","Herbaceous","Diploid"
"Schwenckia_lateriflora","Woody","Diploid"
"Scopolia_carniolica","Herbaceous","Polyploid"
"Solandra_grandiflora","Woody","Diploid"
"Solanum_abutiloides","Woody","Diploid"
"Solanum_acaule","Herbaceous","Polyploid"
"Solanum_acerifolium","Woody","Diploid"
"Solanum_acroscopicum","Herbaceous","Diploid"
"Solanum_aculeastrum","Woody","Diploid"
"Solanum_aculeatissimum","Woody","Diploid"
"Solanum_aethiopicum","Herbaceous, Woody","Diploid"
"Solanum_albicans","Herbaceous","Polyploid"
"Solanum_allophyllum","Woody","Diploid"
"Solanum_americanum","Herbaceous","Diploid"
"Solanum_andreanum","Herbaceous, Woody base","Diploid"
"Solanum_appendiculatum","Herbaceous, Woody","Diploid"
"Solanum_aridum","Herbaceous","Diploid"
"Solanum_asperolanatum","Woody","Diploid"
"Solanum_asymmetriphyllum","Woody","Diploid"
"Solanum_atropurpureum","Woody","Diploid"
"Solanum_aviculare","Woody, Woody base","Polyploid"
"Solanum_berthaultii","Herbaceous","Diploid"
"Solanum_boliviense","Herbaceous","Diploid"
"Solanum_brevicaule","Herbaceous","Diploid"
"Solanum_brevifolium","Woody","Diploid"
"Solanum_bulbocastanum","Herbaceous","Diploid"
"Solanum_cacosmum","Woody","Diploid"
"Solanum_cajanumense","Woody","Diploid"
"Solanum_campanulatum","Woody","Diploid"
"Solanum_candidum","Woody","Diploid"
"Solanum_candolleanum","Herbaceous","Diploid"
"Solanum_capsiciforme","Woody","Polyploid"
"Solanum_capsicoides","Herbaceous, Woody base","Diploid"
"Solanum_cardiophyllum","Herbaceous","Diploid"
"Solanum_caripense","Woody","Diploid"
"Solanum_carolinense","Herbaceous","Diploid"
"Solanum_chacoense","Herbaceous","Diploid"
"Solanum_cheesmaniae","Herbaceous","Diploid"
"Solanum_chilense","Herbaceous","Diploid"
"Solanum_chmielewskii","Herbaceous, Woody base","Diploid"
"Solanum_chomatophilum","Herbaceous","Diploid"
"Solanum_cinereum","Woody","Diploid"
"Solanum_circinatum","Woody","Diploid"
"Solanum_citrullifolium","Herbaceous","Diploid"
"Solanum_clarum","Herbaceous","Diploid"
"Solanum_cleistogamum","Herbaceous","Diploid"
"Solanum_colombianum","Herbaceous","Diploid"
"Solanum_crinitum","Woody","Diploid"
"Solanum_crispum","Woody","Diploid"
